segment,n,share,male_share,BALANCE_mean,PURCHASES_mean,CREDIT_LIMIT_mean,PAYMENTS_mean,PRC_FULL_PAYMENT_mean
0,259,0.259,0.5598455598455598,1429.0987066216217,1240.4164092741312,8940.15444015444,589.1398954942084,0.02725607335907336
1,87,0.087,0.42528735632183906,6230.568090045977,3108.21011808046,5058.620689655172,1699.26106845977,0.050170229885057475
2,156,0.156,0.5833333333333334,1530.776662980769,1185.9860339038462,3755.128205128205,533.6155390192307,0.3337666794871795
3,498,0.498,0.5461847389558233,1410.768648,1195.9295089518073,2605.2208835341366,444.1777714939759,0.01233317469879518
